measure,time,time_type,Ethnicity,ethnicity_type,legislation_type,geography,geography_type,number_of_stop_and_searches,total_number_of_stop_and_search_carried_out_in_this_year_in_this_area_excluding_cases_where_the_ethnicity_was_unreported,population_by_ethnicity,rate_per_1_000_population_by_ethnicity,proportion_of_total_stop_and_searches_of_this_ethnicity_in_the_financial_year_excludes_unreported
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,All - excluding BTP,Police Force Area,564198,466121,56075912,10.06132544,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,All - excluding BTP,Police Force Area,684348,555915,59597578,11.48282,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,All - excluding BTP,Police Force Area,505809,405946,59597578,8.487073,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,All - excluding BTP,Police Force Area,517367,412366,59597578,8.681007,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,All - excluding BTP,Police Force Area,1037735,932065,56075912,18.51,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,All - excluding BTP,Police Force Area,1214693,1125647,56075912,21.66,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,All - excluding BTP,Police Force Area,1495379,1409802,56075912,26.67,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,All - excluding BTP,Police Force Area,1345334,1284197,56075912,23.99,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,All - excluding BTP,Police Force Area,1272799,1220198,56075912,22.7,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,All - excluding BTP,Police Force Area,1171052,1121123,56075912,20.88,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,All - excluding BTP,Police Force Area,999457,954314,56075912,17.82,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,All - excluding BTP,Police Force Area,883808,841399,56075912,15.76,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,All - excluding BTP,Police Force Area,528847,498721,56075912,9.43,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,All - excluding BTP,Police Force Area,374651,342086,56075912,6.68,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,All - excluding BTP,Police Force Area,296555,266308,56075912,5.29,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,All - excluding BTP,Police Force Area,274594,243589,56075912,4.9,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,All - excluding BTP,Police Force Area,370801,316353,56075912,6.61,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,991644,886657,53393384,18.57,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,1163999,1075609,53393384,21.8,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,1442348,1357473,53393384,27.01,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,1302807,1242635,53393384,24.4,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,1222264,1171286,53393384,22.89,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,1118621,1070599,53393384,20.95,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,965680,921346,53393384,18.09,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,856133,814587,53393384,16.03,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,514909,485097,53393384,9.64,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,369683,337325,53393384,6.92,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,293822,263806,53393384,5.5,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,272091,241285,53393384,5.1,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,All - excluding BTP and Greater Manchester,Police Force Area,366186,312139,53393384,6.86,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,All - including BTP,Police Force Area,573553,472715,56075912,10.22815287,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,All - including BTP,Police Force Area,697210,565124,59597578,11.69863,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,All - including BTP,Police Force Area,516259,413063,59597578,8.662416,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,All - including BTP,Police Force Area,529474,421189,59597578,8.884153,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,All - including BTP,Police Force Area,1391079,1323681,56075912,24.81,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,All - including BTP,Police Force Area,1292314,1237719,56075912,23.05,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,All - including BTP,Police Force Area,1182999,1131675,56075912,21.1,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,All - including BTP,Police Force Area,1010097,963449,56075912,18.01,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,All - including BTP,Police Force Area,897163,852465,56075912,16,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,All - including BTP,Police Force Area,535669,504446,56075912,9.55,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,All - including BTP,Police Force Area,378367,345087,56075912,6.75,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,All - including BTP,Police Force Area,299228,268447,56075912,5.34,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,All - including BTP,Police Force Area,277508,245749,56075912,4.95,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,All - including BTP,Police Force Area,377111,320808,56075912,6.73,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,NA,NA,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,NA,NA,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,NA,NA,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,1348552,1282119,53393384,25.26,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,1241779,1188807,53393384,23.26,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,1130568,1081151,53393384,21.17,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,976320,930481,53393384,18.29,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,869488,825653,53393384,16.28,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,521731,490822,53393384,9.77,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,373399,340326,53393384,6.99,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,296495,265945,53393384,5.55,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,275005,243445,53393384,5.15,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,All - including BTP and excluding Greater Manchester,Police Force Area,372496,316594,53393384,6.98,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Avon & Somerset,Police Force Area,8327,6013,1599555,5.205822869,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Avon & Somerset,Police Force Area,10174,7635,1744576,5.83179,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Avon & Somerset,Police Force Area,6760,5215,1744576,3.874867,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Avon & Somerset,Police Force Area,6205,4859,1744576,3.556738,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Avon & Somerset,Police Force Area,15018,9050,1599555,9.39,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Avon & Somerset,Police Force Area,11806,8722,1599555,7.38,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Avon & Somerset,Police Force Area,18306,12772,1599555,11.44,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Avon & Somerset,Police Force Area,16624,12983,1599555,10.39,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Avon & Somerset,Police Force Area,19304,14940,1599555,12.07,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Avon & Somerset,Police Force Area,24329,20911,1599555,15.21,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Avon & Somerset,Police Force Area,32672,29588,1599555,20.43,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Avon & Somerset,Police Force Area,24672,23728,1599555,15.42,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Avon & Somerset,Police Force Area,10399,9973,1599555,6.5,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Avon & Somerset,Police Force Area,5598,4929,1599555,3.5,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Avon & Somerset,Police Force Area,6305,4723,1599555,3.94,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Avon & Somerset,Police Force Area,5676,4734,1599555,3.55,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Avon & Somerset,Police Force Area,6026,4589,1599555,3.77,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Bedfordshire,Police Force Area,3318,2572,615061,5.394586878,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Bedfordshire,Police Force Area,3845,3032,704736,5.455944,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Bedfordshire,Police Force Area,3519,2966,704736,4.993359,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Bedfordshire,Police Force Area,3830,3196,704736,5.434659,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Bedfordshire,Police Force Area,4768,4279,615061,7.75,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Bedfordshire,Police Force Area,5025,4614,615061,8.17,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Bedfordshire,Police Force Area,8465,8076,615061,13.76,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Bedfordshire,Police Force Area,7295,6908,615061,11.86,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Bedfordshire,Police Force Area,9523,8856,615061,15.48,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Bedfordshire,Police Force Area,7621,6886,615061,12.39,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Bedfordshire,Police Force Area,8382,7365,615061,13.63,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Bedfordshire,Police Force Area,6453,5515,615061,10.49,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Bedfordshire,Police Force Area,2972,2476,615061,4.83,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Bedfordshire,Police Force Area,2208,1891,615061,3.59,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Bedfordshire,Police Force Area,1583,1373,615061,2.57,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Bedfordshire,Police Force Area,1395,1244,615061,2.27,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Bedfordshire,Police Force Area,2217,1631,615061,3.6,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,British Transport Police,Police Force Area,9355,6594,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,British Transport Police,Police Force Area,12862,9209,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,British Transport Police,Police Force Area,10450,7117,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,British Transport Police,Police Force Area,12107,8823,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,British Transport Police,Police Force Area,45745,39484,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,British Transport Police,Police Force Area,19515,17521,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,British Transport Police,Police Force Area,11947,10552,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,British Transport Police,Police Force Area,10640,9135,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,British Transport Police,Police Force Area,13355,11066,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,British Transport Police,Police Force Area,6822,5725,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,British Transport Police,Police Force Area,3716,3001,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,British Transport Police,Police Force Area,2673,2139,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,British Transport Police,Police Force Area,2914,2160,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,British Transport Police,Police Force Area,6310,4455,NA,NA,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Cambridgeshire,Police Force Area,2425,2018,804841,3.013017478,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Cambridgeshire,Police Force Area,3335,2662,894517,3.728269,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Cambridgeshire,Police Force Area,2522,2054,894517,2.819399,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Cambridgeshire,Police Force Area,2746,2340,894517,3.069813,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Cambridgeshire,Police Force Area,8773,8582,804841,10.9,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Cambridgeshire,Police Force Area,10053,9811,804841,12.49,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Cambridgeshire,Police Force Area,5437,5286,804841,6.76,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Cambridgeshire,Police Force Area,6293,6070,804841,7.82,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Cambridgeshire,Police Force Area,13574,13145,804841,16.87,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Cambridgeshire,Police Force Area,17420,16900,804841,21.64,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Cambridgeshire,Police Force Area,16878,16169,804841,20.97,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Cambridgeshire,Police Force Area,12948,12292,804841,16.09,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Cambridgeshire,Police Force Area,6024,5715,804841,7.48,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Cambridgeshire,Police Force Area,3098,2836,804841,3.85,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Cambridgeshire,Police Force Area,1256,1084,804841,1.56,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Cambridgeshire,Police Force Area,940,775,804841,1.17,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Cambridgeshire,Police Force Area,1668,1363,804841,2.07,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Cheshire,Police Force Area,4018,3352,1027709,3.909667036,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Cheshire,Police Force Area,5831,4850,1095372,5.323306,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Cheshire,Police Force Area,5996,4987,1095372,5.473939,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Cheshire,Police Force Area,11943,9621,1095372,10.90315,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Cheshire,Police Force Area,6472,6390,1027709,6.3,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Cheshire,Police Force Area,5623,5547,1027709,5.47,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Cheshire,Police Force Area,5046,4976,1027709,4.91,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Cheshire,Police Force Area,5279,5193,1027709,5.14,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Cheshire,Police Force Area,6068,6002,1027709,5.9,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Cheshire,Police Force Area,7914,7787,1027709,7.7,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Cheshire,Police Force Area,5016,4934,1027709,4.88,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Cheshire,Police Force Area,6668,6541,1027709,6.49,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Cheshire,Police Force Area,9368,9203,1027709,9.12,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Cheshire,Police Force Area,5865,3839,1027709,5.71,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Cheshire,Police Force Area,2665,2004,1027709,2.59,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Cheshire,Police Force Area,2202,1889,1027709,2.14,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Cheshire,Police Force Area,2320,2104,1027709,2.26,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Cleveland,Police Force Area,1895,1729,557227,3.400768448,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Cleveland,Police Force Area,6080,5061,569383,10.67823,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Cleveland,Police Force Area,5890,4790,569383,10.34453,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Cleveland,Police Force Area,6844,5650,569383,12.02003,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Cleveland,Police Force Area,12137,11453,557227,21.78,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Cleveland,Police Force Area,15822,15573,557227,28.39,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Cleveland,Police Force Area,17576,17357,557227,31.54,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Cleveland,Police Force Area,24489,24197,557227,43.95,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Cleveland,Police Force Area,30327,29911,557227,54.42,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Cleveland,Police Force Area,30621,30424,557227,54.95,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Cleveland,Police Force Area,31384,31104,557227,56.32,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Cleveland,Police Force Area,24704,24616,557227,44.33,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Cleveland,Police Force Area,9318,9281,557227,16.72,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Cleveland,Police Force Area,2746,2717,557227,4.93,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Cleveland,Police Force Area,992,943,557227,1.78,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Cleveland,Police Force Area,839,804,557227,1.51,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Cleveland,Police Force Area,833,794,557227,1.49,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Cumbria,Police Force Area,1942,1867,499858,3.885103369,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Cumbria,Police Force Area,3348,3058,499847,6.69805,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Cumbria,Police Force Area,2190,2087,499847,4.381341,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Cumbria,Police Force Area,4334,3895,499847,8.670653,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Cumbria,Police Force Area,8221,8071,499858,16.45,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Cumbria,Police Force Area,8972,8849,499858,17.95,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Cumbria,Police Force Area,8813,8588,499858,17.63,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Cumbria,Police Force Area,10603,10365,499858,21.21,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Cumbria,Police Force Area,10508,10183,499858,21.02,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Cumbria,Police Force Area,14102,13685,499858,28.21,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Cumbria,Police Force Area,12863,12251,499858,25.73,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Cumbria,Police Force Area,10462,9616,499858,20.93,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Cumbria,Police Force Area,6154,5622,499858,12.31,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Cumbria,Police Force Area,3600,3490,499858,7.2,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Cumbria,Police Force Area,1845,1755,499858,3.69,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Cumbria,Police Force Area,1392,1366,499858,2.78,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Cumbria,Police Force Area,1618,1558,499858,3.24,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Derbyshire,Police Force Area,1698,1517,1018438,1.667259077,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Derbyshire,Police Force Area,2137,1823,1055993,2.023688,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,Derbyshire,Police Force Area,1735,1348,1055993,1.643003,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,Derbyshire,Police Force Area,1976,1681,1055993,1.871225,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,Derbyshire,Police Force Area,8535,8368,1018438,8.38,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,Derbyshire,Police Force Area,8293,7999,1018438,8.14,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,Derbyshire,Police Force Area,7822,7695,1018438,7.68,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,Derbyshire,Police Force Area,8523,8411,1018438,8.37,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,Derbyshire,Police Force Area,11508,11336,1018438,11.3,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,Derbyshire,Police Force Area,15142,14875,1018438,14.87,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Derbyshire,Police Force Area,12688,12377,1018438,12.46,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,Derbyshire,Police Force Area,6332,6211,1018438,6.22,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,Derbyshire,Police Force Area,5476,5291,1018438,5.38,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,Derbyshire,Police Force Area,3635,3534,1018438,3.57,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Derbyshire,Police Force Area,1884,1724,1018438,1.85,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,Derbyshire,Police Force Area,1184,1084,1018438,1.16,NA
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All,All,Derbyshire,Police Force Area,1639,1431,1018438,1.61,NA
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,Devon & Cornwall,Police Force Area,5603,4396,1668218,3.358673746,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,Devon & Cornwall,Police Force Area,8010,5969,1788012,4.479836,NA
